1,Shantam Gulati,shantam-gulati,0,NULL
2,Anshul Bhatia,anshul-bhatia,0,NULL
3,Apple,apple,1,2
4,Whyte & Mackay,whyte-mackay,1,3
5,Fossil,fossil,1,4
6,Tag Heuer,tag-heuer,1,5
7,Glenfiddich,glenfiddich,1,6
8,Bose,bose,1,7
9,Kiehls,kiehls,1,8
10,Toblerone,toblerone,1,9
11,Swarovski,swarovski,1,10
12,Hugo Boss,hugo-boss,1,11
13,Cabeau,cabeau,1,12
14,Furla,furla,1,13
15,Desigual,desigual,1,14
16,Diesel,diesel,1,15
17,Versace,versace,1,16
18,Gucci,gucci,1,17
19,Jimmy Choo,jimmy-choo,1,18
20,Moshi,moshi,1,19
21,Thule,thule,1,20
22,Tous,tous,1,21
23,Thomas Sabo,thomas-sabo,1,22
24,Cerruti 1881,cerruti-1881,1,23
25,Hero,hero,1,24
26,Danzka,danzka,1,48
27,ChloÃ©,chlo,1,23
28,Alexandre J,alexandre-j,1,26
29,Cartier,cartier,1,27
30,Kinder,kinder,1,28
31,Lindt,lindt,1,29
32,Marabou,marabou,1,30
33,Ferrero SpA,ferrero-spa,1,31
34,Mars,mars,1,32
35,Storck,storck,1,33
36,Nestle,nestle,1,34
37,Milka,milka,1,35
38,Chiko,chiko,1,36
39,Clinique,clinique,1,36
40,KitKat,kitkat,0,NULL
41,Revlon,revlon,1,41
42,Toblerone Golden Mini Bag 1kg,toblerone-golden-mini-bag-1kg,0,NULL
43,Cadbury,cadbury,1,42
44,Givenchy,givenchy,1,3
45,LancÃ´me,lancme,1,43
46,Yves Saint Laurent,yves-saint-laurent,1,44
47,EstÃ©e Lauder,este-lauder,1,45
48,Clarins,clarins,1,46
49,Esprit,esprit,1,47
50,Danzka,danzka,1,48
51,GoPro,gopro,1,49
52,Others,others,1,51
53,WatchUp,watchup,1,50
54,Gant,gant,1,52
55,Dyson,dyson,1,53
56,Gassan ,gassan,1,54
57,Jil Sander,jil-sander,1,55
58,Ouwehand,ouwehand,1,56
59,Azzaro,azzaro,1,57
60,Calvin Klein,calvin-klein,1,58
61,DKNY,dkny,1,59
62,Davidoff,davidoff,1,60
63,Samsung,samsung,1,61
64,Karl Lagerfeld,karl-lagerfeld,1,62
65,Licor,licor,1,63
66,Dalmore,dalmore,1,167
67,Jura,jura,1,183
68,Glengoyne,glengoyne,1,175
69,Macallan,macallan,1,188
70,Glen Elgin,glen-elgin,1,174
71,Glenkinchie,glenkinchie,1,176
72,Johnnie Walker,johnnie-walker,1,181
73,Ballentine's,ballentines,0,NULL
74,Ballentine's,ballentines,1,149
75,Royal Salute,royal-salute,1,204
76,Chivas Regal,chivas-regal,1,161
77,King Robert II,king-robert-ii,1,184
78,Whyte & Mackay,whyte-mackay,0,NULL
79,Passport Scotch,passport-scotch,1,198
80,Black & White,black-white,1,151
81,William Grants,william-grants,1,214
82,Tullamore Dew,tullamore-dew,1,212
83,Jameson,jameson,1,179
84,Midleton,midleton,1,191
85,Vat 69,vat-69,1,213
86,Clan MacGregor,clan-macgregor,1,164
87,Teachers,teachers,1,209
88,Canadian Club,canadian-club,1,156
89,Dewar's,dewars,1,168
90,Maker's Mark,makers-mark,1,189
91,Clynelish,clynelish,1,165
92,Talisker,talisker,1,208
93,MoÃ«t & Chandon,mot-chandon,1,193
94,Mumm,mumm,1,195
95,Yellow Tail,yellow-tail,1,216
96,Joseph Drouhin,joseph-drouhin,1,182
97,Fuzion,fuzion,1,173
98,Dourthe No.1,dourthe-no1,1,171
99,Torres,torres,1,211
100,Chenin Blanc,chenin-blanc,1,160
101,Rhinofields,rhinofields,1,201
102,Pascal Jolivet,pascal-jolivet,1,197
103,Chablis,chablis,1,159
104,Mouton Cadet,mouton-cadet,1,194
105,Carrera,carrera,1,158
106,Philips,philips,1,199
107,Glenlivet,glenlivet,1,177
108,Samsonite,samsonite,1,205
109,Sony,sony,1,207
110,Bouchard,bouchard,1,152
111,Masi,masi,1,190
112,Neuhaus,neuhaus,1,196
113,M&M's,mms,1,NULL
114,M&M's,mms,1,187
115,D&G,dg,1,166
116,DJI,dji,1,169
117,JBL,jbl,1,180
118,Loreal,loreal,1,186
119,Zacapa Rum,zacapa-rum,1,217
120,Xoopar,xoopar,1,215
121,Biotherm,biotherm,1,150
122,Arma,arma,1,148
123,Braun,braun,1,153
124,Dreamgear,dreamgear,1,172
125,Seawag,seawag,1,NULL
126,Seawag,seawag,1,206
127,Antonio Banderas,antonio-banderas,1,147
128,Rossini,rossini,1,NULL
129,Rossini,rossini,1,203
130,Lacoste,lacoste,1,185
131,Roka,roka,1,NULL
132,Roka,roka,1,202
133,POM,pom,1,NULL
134,POM,pom,1,200
135,Gouda's,goudas,1,178
136,Tissot,tissot,1,210
137,Miffy,miffy,1,192
138,Bvlgari,bvlgari,1,154
139,Cacharel,cacharel,1,155
140,Carolina Herrera,carolina-herrera,1,157
141,Christian Dior,christian-dior,1,162
142,Christian Lacroix,christian-lacroix,1,163
143,Dolce & Gabbana,dolce-gabbana,1,170
144,After Eight,after-eight,1,218
145,Chupa Chups,chupa-chups,1,219
146,Ghirardelli,ghirardelli,1,220
147,Godiva ,godiva,1,221
148,Guylian,guylian,1,222
149,Hawaiian Host ,hawaiian-host,1,223
150,Hershey's,hersheys,1,224
151,Jelly Belly ,jelly-belly,1,225
152,Mentos,mentos,1,226
153,See's Candies,sees-candies,1,227
154,Sweet Journey,sweet-journey,1,228
155,La Prairie,la-prairie,1,229
156,Kipling ,kipling,1,230
157,Buckley London ,buckley-london,1,231
158,L'Occitane,loccitane,1,232
159,Shiseido,shiseido,1,NULL
160,Lancome,lancome,1,NULL
161,Sisley,sisley,1,NULL
162,Sulwhasoo,sulwhasoo,1,NULL
163,Benefit,benefit,1,NULL
164,Guerlain,guerlain,1,NULL
165,L'Oreal,loreal,1,NULL
166,Elizabeth Arden,elizabeth-arden,1,NULL
167,Estee Lauder,estee-lauder,1,NULL
168,Benefit Boiing,benefit-boiing,1,NULL
169,NARS,nars,1,NULL
170,Bobbi Brown,bobbi-brown,1,NULL
171,Kiehl'S,kiehls,1,NULL
172,YSL,ysl,1,NULL
173,La Praire,la-praire,1,NULL
174,Canon,canon,1,NULL
175,Ihealth,ihealth,1,NULL
176,Beats,beats,1,NULL
177,Sennheiser,sennheiser,1,NULL
178,Foreo,foreo,1,999
179,Foreo Luna,foreo-luna,1,NULL
180,Moser,moser,1,NULL
